Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Jan,,,,,Feb,,,,,Mar,,,,,Apr,,,,,May,,,,,Jun,,,,,Jul,,,,,Aug,,,,,Sep,,,,,Oct,,,,,Nov,,,,,Dec,,,,,,,,Total (Jan-Dec),,
,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,"Outgoing Stock
(Estimate)","Outgoing Stock
(Actual)","Waste generated
(Actual)",Waste generated,Landfill,
,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,,,,
"Tiles after kiln, coal slag/ Gạch sau nung, sỉ than,",0,68.78,68.78,,,0,195.2,,195.2,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,,0,,,
Sludge/ Bùn,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,,0,,,
"Paper packaging/ Giấy bao bì, các loại giấy bỏ, cốt băng dính, bao bì catton, hộp catton",0,1.92,1.92,,,0,0,,,,0,1.4,1.4,,,0,0,,,,0,4.82,4.82,,,0,0,,,,0,1.52,1.52,,,0,0,,,,0,1.68,1.68,,,0,0,,,,0,1.58,1.58,,,0,1.42,1.42,,,0,,1.42,,,
"Plastic packaging, (Wrap, Bigbag)/ Nhựa bao gồm các loại vật dụng làm từ nhựa bỏ",0,0.58,0.58,,,0,0,,,,0,0.26,0.26,,,0,0,,,,0,0.42,0.42,,,0,0,,,,0,0.38,0.38,,,0,0.177,0.177,,,0,0.38,0.38,,,0,0,,,,0,0.22,0.22,,,0,0.24,0.24,,,0,,0.24,,,
"Wooden Packaging (Pallet, gỗ củi)",0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,,0,,,
"Rubber/ Cao su (bao gồm các loại dây cao su, dây đai cao su, một số đồ dùng cho sản xuất làm từ cao su)",4.068999999999999,0.05,,,,4.118999999999999,1.4647000000000001,,,,5.5836999999999986,2.9145,2.76,,,5.738199999999999,0.1845,,,,5.922699999999999,0.224,,,,6.146699999999999,0.3395,,,,6.486199999999999,0.1462,,,,6.6324,0.089,,,,6.7214,0.372,,,,7.0934,0.165,,,,7.2584,4.894,4.8,,,7.3524,0.08,,,,7.4324,,-7.3524,,,
"Refractory/ Gạch chịu lửa (Gạch lò tầng sôi,
 gạch xây lò nung, tháp sấy phun)",0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,,0,,,
"Other (Dây dù, Túi lọc bụi (filter bag))",1.8300999999999998,0,,,,1.8300999999999998,0.081,,,,1.9110999999999998,,0,,,1.9110999999999998,0,,,,1.9110999999999998,0,,,,1.9110999999999998,0,,,,1.9110999999999998,0,,,,1.9110999999999998,0,,,,1.9110999999999998,0,,,,1.9110999999999998,0,,,,1.9110999999999998,0,,,,1.9110999999999998,0,,,,1.9110999999999998,,-1.9110999999999998,,,
iron waste (Sắt phế liệu),0,28.28,28.28,,,0,14.96,14.96,,,0,35,35,,,0,0,,,,0,43.04,43.04,,,0,9,9,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,,0,,,
Con lăn hỏng,0,0,,,,0,,,,,0,3.34,3.34,,,0,0,,,,0,0,,,,0,1,1,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,,,,,0,,0,4.34,0,
Total Non Hazardous Waste Generate (ton),5.899099999999999,99.61,99.56,0,0,5.949099999999999,211.70569999999998,14.96,195.2,0,7.494799999999998,42.914500000000004,42.760000000000005,0,0,7.649299999999998,0.1845,0,0,0,7.833799999999998,48.504,48.28,0,0,8.057799999999999,10.3395,10,0,0,8.3973,2.0462,1.9,0,0,8.5435,0.266,0.177,0,0,8.6325,2.432,2.06,0,0,9.0045,0.165,0,0,0,9.1695,6.694,6.6,0,0,9.2635,1.74,1.66,0,0,9.3435,0,-7.6035,426.60140000000007,0,
Specific Non Hazardous Waste Generate (kg/ton),,10.36531896014654,,,0,,33.55039376462727,,,0,,2.420039711933699,,,0,,0.011680574932290466,,,0,,3.014206036820905,,,0,,0.6301493187857025,,,0,,0.1108791642353216,,,0,,0.016440425147487205,,,0,,0.20038296271214395,,,0,,0.013237232399310066,,,0,,0.5431613877685825,,,0,,0.03720276719338238,,,0,,,-0.4751018683087668,2.5166458264308957,0,
